age,tenure_months,monthly_charges,num_services,promo_flag,churn
23,15,41.81,1,1,0
65,3,86.29,3,1,0
58,45,96.69,1,0,0
45,49,36.66,3,0,0
44,55,24.39,3,0,0
71,68,63.96,1,0,0
23,36,97.4,2,0,0
61,59,85.08,1,1,1
30,51,90.19,3,0,0
23,20,60.28,2,1,0
50,61,43.49,2,0,0
78,4,73.18,1,0,0
63,43,40.44,2,1,0
65,67,92.62,2,1,0
62,47,39.7,1,1,0
66,67,49.13,4,1,0
49,4,70.65,2,0,0
25,38,68.67,1,1,0
70,56,80.08,3,0,0
45,46,63.74,2,1,0
49,63,111.95,2,1,1
40,33,103.99,3,0,1
29,49,107.91,1,1,0
75,30,82.95,3,0,0
66,62,83.5,1,0,0
57,9,80.92,1,0,0
42,19,63.49,1,0,0
69,7,52.21,1,1,0
51,50,79.2,2,0,0
45,17,22.55,4,1,0
45,23,20.75,4,0,0
32,60,105.16,1,1,0
23,26,24.64,4,1,0
52,11,72.48,3,1,0
73,2,81.5,3,0,1
21,17,39.82,4,0,0
71,65,109.57,2,0,0
69,39,39.01,2,0,0
35,71,108.45,3,0,0
57,16,96.3,3,0,1
28,25,44.07,3,1,0
65,12,35.07,1,0,0
61,29,51.62,4,1,0
39,40,59.8,2,1,0
22,58,44.58,4,1,0
78,27,119.89,2,1,1
45,55,42.97,1,1,0
73,45,103.06,4,0,0
60,21,35.91,3,0,0
66,65,118.02,1,1,1
65,31,42.55,1,0,0
30,11,62.17,1,0,0
40,69,75.86,1,0,0
46,65,32.03,4,1,0
48,4,101.68,1,0,1
20,65,47.47,1,0,0
51,68,74.93,4,1,0
27,59,74.96,4,1,0
64,19,80.26,1,1,1
60,45,25.55,3,0,0
75,39,36.86,3,1,0
64,45,36.12,3,0,1
40,44,50.21,2,1,0
77,46,34.49,4,1,0
43,37,112.19,4,0,0
38,50,71.3,3,0,0
74,38,82.36,4,0,0
40,2,55.75,1,0,0
22,3,47.62,3,1,0
47,69,70.32,4,0,0
67,65,49.43,3,1,0
29,42,54.36,4,1,1
46,13,65.28,2,0,0
26,56,70.57,4,0,0
60,11,118.43,4,0,1
47,27,42.33,3,1,0
38,24,68.8,3,0,0
32,1,34.95,3,1,0
52,58,55.0,2,0,0
59,37,91.73,3,1,0
76,23,37.45,4,0,0
45,37,78.14,1,0,0
27,1,61.67,1,0,0
69,32,25.16,2,1,0
57,37,113.31,2,0,0
61,25,61.36,3,0,0
24,59,98.39,2,1,0
37,18,61.63,3,1,0
65,10,113.74,1,0,0
69,38,49.05,2,0,0
44,63,61.22,3,0,0
67,27,95.89,2,1,0
70,4,54.37,3,0,0
42,69,56.44,3,1,0
73,32,119.48,2,0,0
35,13,75.56,2,0,1
32,44,88.94,4,0,0
60,23,84.35,4,0,0
57,67,102.79,1,1,0
26,21,106.18,3,0,0
69,40,76.33,2,0,0
30,39,49.46,1,1,0
67,18,22.28,3,0,0
18,36,81.44,1,0,0
67,8,102.55,2,1,0
66,46,65.05,3,1,0
66,54,36.47,4,1,0
59,68,48.81,2,1,0
47,24,71.0,4,0,0
61,21,103.67,4,1,1
35,39,37.18,2,1,0
66,50,81.21,1,0,0
52,71,95.34,3,1,1
46,2,113.6,1,0,1
49,17,31.67,4,0,0
53,19,112.64,2,0,0
20,19,80.15,4,1,0
26,33,96.67,3,1,1
33,62,25.38,2,0,0
25,3,70.61,4,0,0
45,58,82.26,4,1,0
59,44,50.68,4,0,0
58,44,63.17,1,0,0
47,49,75.43,2,0,0
71,9,75.25,4,1,0
53,54,24.19,4,1,0
22,18,63.95,2,0,0
65,37,41.38,1,1,0
53,49,111.67,2,1,0
57,43,117.66,3,0,0
53,23,49.96,3,1,0
52,29,37.52,4,0,0
23,34,41.95,1,0,0
52,3,67.78,2,0,0
67,52,107.45,2,1,0
36,8,70.0,4,0,0
55,33,25.54,1,0,0
19,47,23.99,1,1,0
39,6,42.74,2,1,0
45,71,104.28,1,0,0
78,27,82.15,3,0,0
31,2,76.3,3,1,1
35,47,51.9,3,1,0
43,40,112.94,4,1,0
79,46,53.12,2,1,0
70,54,103.49,2,1,0
20,34,109.59,2,0,1
32,59,68.33,4,0,1
68,27,109.43,3,1,0
21,39,47.68,1,1,1
71,12,85.84,3,0,0
35,45,28.8,3,0,1
74,19,67.39,1,1,1
36,50,41.73,3,0,0
44,57,26.28,3,0,0
59,61,20.37,1,1,0
25,66,52.48,1,0,0
52,9,78.95,3,0,0
49,10,65.52,3,0,0
66,66,50.18,3,0,0
79,28,119.12,2,1,0
59,2,113.95,3,0,0
43,21,32.57,4,0,0
43,60,61.51,1,0,0
43,26,84.88,3,0,0
68,6,93.35,1,1,0
37,52,56.64,1,0,0
28,14,94.63,4,1,1
38,26,32.42,1,0,0
19,1,53.18,3,1,0
24,43,91.64,3,0,0
23,32,82.57,4,0,0
65,62,103.72,3,0,0
62,24,24.69,3,0,0
61,15,37.44,4,0,0
46,12,24.85,4,0,1
62,15,39.21,3,0,0
27,33,20.43,1,1,0
73,7,70.42,1,1,0
49,29,72.83,2,1,0
76,61,85.79,3,0,0
27,55,58.49,3,1,0
48,46,20.32,4,1,0
61,64,87.39,1,1,0
48,56,25.43,1,0,0
45,47,106.62,1,1,0
28,62,22.27,3,1,0
41,9,73.05,3,0,1
32,59,109.49,1,1,0
36,21,77.25,4,1,0
60,53,80.84,2,1,0
57,65,88.16,3,1,0
55,36,32.24,4,1,0
40,7,87.49,1,1,0
77,27,108.04,4,1,1
23,29,117.42,4,0,1
39,67,64.31,4,1,1
25,67,54.45,1,1,0
39,41,95.33,2,1,0
77,68,74.29,1,0,0
40,31,45.73,2,0,0
74,30,37.22,4,1,0
48,60,37.02,4,1,0
61,48,65.92,4,1,0
46,38,37.01,2,0,0
34,33,21.97,4,1,0
65,51,25.21,4,1,0
78,54,112.99,4,0,1
34,35,27.3,4,0,0
66,3,27.32,3,0,0
34,8,65.12,1,1,0
62,11,44.51,2,1,0
66,33,116.27,4,1,1
45,44,111.1,2,1,0
63,58,60.47,1,0,0
34,17,64.87,4,1,0
22,56,57.51,2,0,0
23,48,23.79,4,0,0
45,4,49.28,2,0,0
73,25,32.27,2,1,0
25,22,30.24,2,1,0
46,63,76.09,2,1,0
61,66,29.88,2,1,0
30,59,30.29,2,0,0
62,38,68.05,4,1,0
36,35,64.23,2,0,0
68,23,33.76,2,1,0
53,55,20.44,4,1,0
51,7,39.3,2,1,0
28,20,43.59,1,0,0
46,10,100.02,1,1,1
71,36,111.54,2,1,1
19,22,60.59,3,0,0
65,15,60.5,4,1,0
48,27,91.25,1,1,0
62,62,82.69,3,0,0
59,40,38.41,2,0,0
44,59,30.77,2,0,0
37,65,63.76,2,1,0
56,65,76.48,2,1,0
26,25,33.87,1,1,0
54,63,49.33,1,1,0
23,65,50.59,3,1,0
58,69,46.13,1,1,0
56,25,66.08,2,0,1
23,17,85.31,1,1,1
64,42,70.94,1,0,0
43,67,40.15,1,1,0
66,64,30.29,2,0,0
20,41,102.19,1,1,0
29,11,67.93,1,1,0
48,30,26.21,2,1,0
29,51,45.81,2,0,0
38,40,100.4,1,1,0
58,25,95.17,1,1,0
26,25,107.58,4,0,0
60,5,80.21,3,1,1
24,21,62.29,1,0,0
28,48,62.66,2,0,0
54,18,39.4,2,1,0
67,71,85.08,4,1,0
28,6,78.51,4,0,1
36,42,35.49,4,1,0
75,36,108.57,1,1,0
79,60,56.85,2,1,0
54,64,24.97,2,1,0
45,39,52.79,3,1,0
39,45,106.99,4,0,0
55,50,111.7,2,0,0
54,37,69.04,3,0,0
36,14,115.63,2,1,0
19,31,107.52,1,1,1
27,18,102.52,2,1,0
77,33,105.97,3,0,0
43,44,58.19,2,1,0
47,15,95.65,3,1,1
46,18,77.73,3,1,0
66,59,91.97,2,1,0
22,27,37.78,4,0,0
23,15,93.14,1,0,1
35,51,115.76,4,1,1
48,51,50.27,1,1,0
59,59,118.62,2,1,1
48,54,57.84,4,1,0
45,71,39.97,3,1,0
76,41,31.23,2,0,0
27,21,98.5,4,1,1
53,62,75.48,1,0,0
51,19,50.71,3,0,0
47,21,80.85,3,0,0
68,59,53.21,1,1,0
34,63,64.84,4,1,0
77,25,106.27,4,1,1
38,52,86.82,1,0,0
51,66,96.24,1,1,0
50,57,78.35,1,0,0
70,1,119.14,2,0,0
45,48,44.14,2,0,0
35,13,46.23,3,1,0
19,61,29.26,3,0,1
40,5,75.4,1,0,0
69,71,81.34,2,0,0
18,13,92.6,4,1,1
73,30,53.54,4,1,0
51,17,21.23,2,0,0
26,58,83.22,1,0,0
36,28,119.87,1,0,0
52,53,49.45,2,1,0
37,5,38.39,2,0,0
24,33,48.18,2,0,0
59,65,62.54,1,0,0
59,66,45.09,2,0,0
25,15,54.7,2,0,0
35,29,83.82,2,0,0
33,30,54.5,1,0,0
58,41,59.61,4,1,0
63,39,24.0,2,0,0
63,8,111.79,2,1,0
76,55,60.69,4,0,0
65,17,52.81,3,0,0
37,23,28.65,1,0,0
24,60,83.42,1,1,0
56,49,106.38,1,1,0
74,29,24.12,3,0,0
78,65,34.53,2,1,0
32,28,34.64,2,1,0
32,41,80.23,3,0,0
20,18,112.12,3,1,0
26,14,63.78,1,0,0
52,35,54.38,1,0,0
51,40,96.58,4,1,1
40,58,94.26,4,0,0
37,28,44.68,4,0,0
69,64,36.08,4,0,0
46,44,55.78,2,1,0
68,5,97.56,4,1,1
77,53,89.51,4,0,0
37,41,86.59,4,0,0
30,28,102.94,1,0,1
77,34,47.71,1,1,0
57,22,53.97,2,1,0
36,44,24.23,3,0,1
56,41,106.87,4,1,0
49,32,78.24,2,1,0
74,21,49.81,4,0,0
33,29,26.94,4,0,1
79,36,92.34,4,0,0
76,34,94.87,1,1,0
29,22,86.62,1,1,0
28,42,40.38,1,0,0
51,17,111.32,3,0,0
20,36,95.32,3,0,0
36,9,85.78,2,0,1
44,34,85.09,1,0,0
78,56,110.44,3,0,0
79,59,112.83,3,1,0
27,50,79.56,2,1,0
73,53,61.67,2,0,0
23,5,56.37,3,1,0
64,25,101.91,3,1,0
70,47,84.46,3,1,1
73,57,27.73,4,1,0
31,42,34.22,2,1,0
73,61,110.02,3,0,0
25,20,108.45,4,1,1
50,11,115.18,1,0,1
47,7,62.79,2,1,1
37,42,98.41,1,0,0
19,48,102.82,2,0,0
65,21,51.57,1,0,0
38,56,34.53,3,0,0
59,53,119.7,1,0,0
43,26,23.02,3,1,1
41,17,79.73,3,1,0
72,53,85.02,4,0,0
23,48,88.18,2,0,0
63,13,45.56,2,0,1
64,19,92.16,1,0,0
41,35,41.64,3,1,0
34,37,102.9,1,1,1
18,12,41.91,1,0,0
76,68,89.67,4,0,0
76,28,98.34,3,1,1
32,28,38.89,1,1,0
19,5,43.8,3,0,0
25,63,97.91,2,1,0
22,17,28.6,1,0,0
69,71,39.08,2,0,0
73,36,65.55,4,1,0
27,63,113.02,1,1,0
64,13,76.19,2,0,0
29,12,58.77,4,1,0
40,57,117.84,2,0,0
55,59,66.37,1,1,0
62,39,63.37,2,0,0
72,3,61.16,3,1,1
20,68,51.22,4,1,0
30,28,52.57,3,1,0
35,67,88.78,1,1,1
37,62,24.08,4,1,0
79,61,88.18,4,0,0
66,49,40.12,3,1,0
37,48,58.42,4,0,0
78,38,34.65,4,1,0
48,2,75.28,1,0,0
49,28,92.94,2,1,1
44,52,55.47,3,0,0
26,58,36.34,2,1,0
75,40,42.65,3,0,0
18,51,101.81,3,0,0
28,2,46.76,1,0,1
32,34,97.47,3,1,0
35,37,53.12,1,0,0
26,64,38.87,3,0,0
19,23,92.73,2,0,0
60,17,66.85,1,0,0
78,26,23.13,4,1,0
25,13,115.99,2,0,1
36,40,34.78,1,0,0
49,46,55.34,2,0,0
75,57,58.48,4,0,0
61,70,68.94,1,1,0
65,6,98.54,2,0,0
54,18,20.61,2,0,0
43,22,113.25,4,1,0
30,18,84.6,1,1,0
71,59,115.06,1,0,0
67,10,101.74,3,1,1
19,3,112.78,1,1,0
62,62,80.1,3,0,0
23,69,55.73,2,1,0
63,17,64.29,3,0,0
69,24,85.8,1,0,1
26,36,62.69,3,1,0
44,38,93.17,3,1,0
25,71,29.18,1,1,0
53,29,103.0,2,0,0
75,1,40.42,1,0,0
23,31,114.39,1,1,1
42,40,35.55,3,0,0
78,37,32.92,2,1,0
36,37,101.19,4,0,1
26,66,101.87,2,0,0
48,58,93.88,3,0,0
49,18,116.05,3,1,1
59,26,47.05,3,0,0
37,48,102.66,4,1,0
77,30,55.2,3,1,0
50,31,73.74,3,0,1
35,12,64.56,3,0,0
77,19,20.59,2,1,0
75,53,77.45,3,0,0
48,60,94.75,4,0,0
19,56,37.46,3,1,0
55,22,113.17,3,0,0
52,10,73.04,1,1,1
27,12,37.82,2,0,0
57,28,84.59,1,0,0
70,37,39.19,1,1,0
24,64,26.35,2,1,0
62,64,88.53,2,0,0
26,1,31.07,3,1,0
64,51,30.62,4,1,0
43,22,93.99,4,0,0
18,15,25.52,2,0,0
77,40,100.98,2,0,0
28,3,99.61,3,1,0
54,24,34.14,2,1,0
29,40,71.84,4,0,0
75,20,29.66,4,1,0
63,43,83.26,3,1,0
67,33,26.29,1,1,0
44,57,114.45,3,1,0
46,13,40.77,4,0,1
57,5,88.29,1,0,0
66,38,32.83,1,1,0
70,19,40.96,3,0,0
19,51,65.09,2,0,0
59,7,77.31,3,1,0
24,41,119.89,2,1,0
35,71,22.59,4,1,0
69,7,20.03,2,1,0
33,22,55.04,2,1,0
67,60,56.62,1,0,0
46,38,108.38,1,0,0
32,13,111.26,1,0,1
38,16,108.05,4,1,0
50,55,34.32,2,1,0
65,62,61.21,1,1,0
55,26,94.59,2,1,1
75,34,51.26,3,1,0
71,56,86.32,4,0,0
64,13,43.71,4,1,1
55,15,52.34,1,1,0
35,55,106.04,4,1,0
43,14,45.05,2,0,0
25,55,116.43,4,1,0
41,36,50.63,1,0,0
75,71,22.35,3,0,0
44,3,45.49,4,0,0
25,68,37.12,1,0,0
58,16,70.68,4,1,1
77,3,31.27,1,0,0
71,52,82.6,4,0,1
34,38,107.49,3,1,0
46,60,56.25,4,1,0
50,8,36.85,4,1,1
33,6,60.0,2,0,0
34,41,98.6,2,0,0
32,63,79.15,3,1,0
79,29,30.11,1,0,0
64,57,73.72,2,1,0
70,65,66.81,1,0,1
68,62,52.71,4,0,0
77,37,31.02,1,1,0
24,50,118.11,2,0,0
72,38,37.6,2,1,0
22,48,39.27,2,0,0
47,41,34.56,4,1,0
54,38,77.02,4,0,0
40,32,64.37,3,0,0
27,47,44.96,4,1,0
29,54,62.94,1,1,0
69,66,87.35,4,1,0
37,44,48.17,1,1,0
37,8,111.52,1,0,0
75,42,50.63,1,1,0
26,23,39.82,1,1,0
74,2,115.46,4,1,1
75,6,101.06,2,0,0
55,42,54.31,4,1,1
28,68,104.14,2,0,1
27,36,71.88,1,0,0
35,32,54.68,2,0,1
53,7,103.96,1,1,1
27,48,95.22,2,0,0
46,4,49.79,3,0,0
25,60,80.67,4,1,0
51,58,56.94,3,0,0
19,71,20.11,1,0,0
61,21,116.18,3,1,0
21,12,74.96,3,1,0
30,22,79.84,1,0,0
28,57,79.99,4,0,0
69,16,75.06,4,0,1
21,64,49.0,3,1,0
44,11,117.16,2,0,0
54,4,82.17,2,0,0
49,16,87.09,2,0,0
60,54,65.48,1,0,0
67,43,48.79,2,1,0
42,26,26.43,1,0,0
69,47,55.02,1,1,0
37,47,37.61,3,0,0
79,40,86.21,1,0,0
49,37,107.9,2,0,0
63,8,50.28,2,0,1
72,19,53.29,1,0,0
67,38,87.04,4,1,0
70,10,34.93,4,1,1
51,34,112.94,3,1,0
20,9,56.38,3,0,1
48,56,30.12,1,0,0
29,8,37.47,4,1,1
73,7,113.27,4,1,1
32,46,44.71,2,1,0
32,16,86.23,3,1,1
33,25,35.62,4,1,0
57,23,39.41,3,1,0
53,16,107.92,1,1,0
76,55,34.8,2,1,0
43,50,21.88,1,0,0
35,17,70.12,2,0,0
21,49,106.27,4,1,1
18,51,52.6,1,1,0
41,39,32.82,4,1,0
75,42,118.22,2,1,1
50,67,87.67,2,1,0
